Username,Comment
@FaradayAcademy,"Hey everyone, thanks for watching 
If you want to support my work, I wrote a book on learning to code: https://amzn.to/3a911Rk (US) and https://books2read.com/u/4DgO8D (worldwide)"
@hassansyed6087,"Gotta love humans who just give thousands of dollars of knowledge for absolutely free.
What a wonderful individual 
Thanks for this"
@panamafred1,"When you said CD = Change Directory, I went into a time warp. I bought my first PC in 1984. It had a massive 10 meg hard drive! I knew absolutely nothing about computers. Didn't even know anyone who had one. The computer came with a thick three-ring binder with the title, DOS. I read and reread and reread the entire book until it started to make sense. (The first version of Windows didn't come out until 1985.) In 1985, I bought an early copy of Symantec's Q&A, a (non-Windows) word processor, flat file, and report generator, which relied heavily on keystroke combinations to get things done but was hinting at a graphical interface. I ran a non-profit for many years with Q&A and loved it, such an improvement from WordStar. So, now at 72-years-old, to see CD = Change Directory, I say to myself, ""Hey, I can do this."" Thanks for a good tutorial."
@WendyLiChinLim,"Gwen articulated this topic so well and was able to break it down into simple terms for a newbie like me. She also explained everything very clearly, showcasing her intelligence in simplifying complicated concepts with ease. I am very grateful to have stumbled upon this video."
@siriusvatsa,"TimeLine
1:10 What is git
1:30 What is version control
2:10 Terms to be learn in video
 Git commands
 sign up in github
 using git in local machine
 git install
 getting code editor
 inside vsCode
 cloning through vsCOde
 git commit command
 git add command
 commiting
 git push command
 SSH Keys
 git push
 Review  workflow so far
 Compare between github workflow and local git workflow
 git branching
 Have fun is not allowed
 Forking in git
 Ending"
@fabriciosaavedra3795,"I don't usually leave comments for tutorials, but let me say, this one fit like a glove to my newbie needs. Thanks a lot!"
@sawazalz9764,"16:28 if you are having problem with using command ""ls -la"", make sure that you change your terminal into Bash first. To change your terminal,
1. Head to the upper right corner on terminal and press the drop-down menu.
2. Select ""Git Bash"" terminal.
3. Start using the command ""ls -la"" there."
@anuvapandya8287,"Whole course was broken down into heading and sub-headings, spending time on important ones and you made sure the basics were clear to the students, viewers or learners like me. Thank You Gwen."
@illhaveawtrplz,"What an amazing explanation, thank you so much for being so clear and concise!

A tip for new learners like myself: This video is slightly dated. GitHub now refers to the primary branch as ""main"" and not ""master"". If you try to run these commands exactly like Gwen in the video, you'll run into errors. Remember: main ️ master "
@unknownuser6577,"This tutorial is probably the best github tutorial any beginner online could make use of. The lecture was succinct and it passed the desired information to the viewers, not having to make things overly complicated, she explains it so well."
@mohammadfallah.rasoulnejad5379,she is the most fluent instructor that answered all my questions while i was watching... imma go to her channel and subscribe rn.
@MegaRomza,"At some point I thought I was dumb for not gasping the concept of git and GitHub because I’ve watched over 5 courses which were paid but I was getting even more frustrated. But here you are making it all clear, now I have the ahaaaaaaaaa moment. I’m in love with your teaching methods, they make sense to me and now I can rewatch those other courses. Thank you very much!!!"
@obotandino2941,4 years after and this is still insightful. Thank you so much.
@josemgarlla74,"Really love this git and github intro course, it really touches a lot of things.
1. How to create a repo locally through the CLI(Command Line Interface) or directly from GITHUB
2. git flow by using the most common commands: git add - git commit and git push/git pull, all of them with their corresponding explanation. What ""origin"", ""remote"" and ""master"" mean.
3. git branching: all the commands involve in that kind of operation as well as best practices.
4. git merging: when we use a ""feature"" branch and it's time to merge to the ""master"" branch  -- PR (Pull Request) on the Github side
5. How to deal with ""conflicts"" when merging.
6. Undoing in git: undoing from the stage area versus undoing if we have committed once or several times.
7. Understanding how and why we fork a repo on github.


Really awesome content, thank a lot for such a valuable content."
@adraintokyo7994,"This is an excellent, detailed tutorial for Git and GitHub.  It’s long, but easy to follow, not least because there is no distracting music, no annoying jingles or graphics and perhaps most helpful, the narration is measured and carefully modulated ... you quickly feel at home with the delivery, from someone who really knows their subject material."
@kaitoti,"Thank you, 
Maybe some suggestions, 
 - add the changes of github defaulting to ""main"" instead of master and the configs on it.
 - Setting up SSH keys(20:30) first must be earlier than the cloning through VS Code(14:30), so we can follow along"
@jmdavaul,"This was much better than I expected it to be.  Very ""no fluff,"" clear, and bite sized.   You can find these topics in many places (youtube, udemy, skillshare, etc) but most instructors can't seem to explain these topics  plainly.   You did exactly that, nice job.  You covered the core concepts of branching, merging, PR's, conflict resolutions, and undoing changes in very easy to follow and digestible steps "
@AbdulRahman-n1g,"Here are git commands to remember:-
1. git status
2. git add .(for all) / git add <filename>
3. git commit -m ""message""
4. git commit -am ""message""
5. git push
6. git push -u origin <branchname>
7. git pull
8. git branch
9. git branch -d
10. git checkout -b <new_branchname>
11. git checkout branchname
12. git reset
13. git reset <filename>
14. git reset -HEAD
15. git reset -HEAD~1 (OR) git reset -HEAD~2 and so on...
16. git reset -hard <commit_code>"
@vishakarudhra8665,"For beginners like me, who might be feeling lost with commands not working in the VS code terminal, all these commands will work on Git Bash since it can interpret all UNIX commands and git ones, on the top of it, it will track the edits you separately perform on VS code. So feel free and just git bash through this course."
@_AnikSaha,"At 21:43, One important note:: If you choose a new name instead of automatically generated location, you have to use that location name when adding configuration code to the [~/.ssh/config] file. Nice tutorial. Thank you."
@vigneshwarselva9276,"i'm a non native speaker of english, what i loved a lot here is your slow n steady way of illustrations, was a nice video .. thanks u so  much"
@GTFreeFlyer,I finally understand Git after this video.  I’ve asked so many questions to friends and watched several “quick” YouTube tutorials and was still confused about Git.  Your tutorial was excellent and I’m glad I sat through the whole hour of it.  It was completely worth my time.  Thanks!
@manelariapala7852,The first ever instructor that actually explains the meaning of each jargon! Thanks @Faraday Academy!
@DefnitelyNotFred,"Absolute masterpiece of a Tutorial. I'm an electrical engineer working as a Data Analyst with Energy Data. I'm trying to shore up my programming credentials as a Data Scientist because I'm trying to change jobs and have failed a lot of interviews for not having enough knowledge on Git, so this guide is very welcome :D"
@GreatBibleStudies,"Gwen, your video is great! I love how everything is broken down into bite-size chunks. You have a wonderful gift of teaching. You've helped this beginner get closer to becoming a competent user of Git & GitHub."
@SiddharthMathur2k007,The most complete tutorial for beginners I have seen on YouTube so far! Thanks a lot!
@doniyorallabergenov7970,"Took me 5 days to completely learn your 1hour course but I repeated it over and over until I completely got it! Very useful, no nonsense and easy to understand. The only thing is, I think the location of SSH keys in the video got changed and placed after 'commit' and 'push' but it is necessary to set up before those steps. Took me a minute to figure that out. Thank you so much!"
@joseortiz_io,Version control is definitely a crucial tool for developing software. Thank you for the education! ️
@guitarman813,This so far is the best (free) course that I've seen on Git and GitHub. Bravo Gwen!
@cosmo_gon,"Gwen has such a clear and pleasant voice and a perfect diction! Likewise, she has a very good teaching skills. Thanks, Gwen!"
@oldlorenz9567,"I 've watched a lot of Git tutorials, and this is for sure the best I've ever seen. Thanks !"
@mikeantonin7580,"This was a highly comprehensive and helpful Git tutorial. It was definitely worth the full hour because unlike other shorter tutorials, it covered everything extensively (with appropriate examples too) thus helping me to properly understand the basic concepts and operations of Git as well as use cases, Thank you very much!"
@ojeleyeopeyemi656,"This will go down in history as the best Git and GitHub course for beginners! Even if one is a dummy, one will still get. Kudos."
@whoismikeyuk,"This has to be the best introduction to git and GitHub I have seen to date (yes, I have tried watching a number of videos). Easy to follow and clearly explained. Finally understanding ""git push origin main"" (changed from master) was my favourite part. Thank you."
@sakthipro_YT,"Extremely useful, sharing a fewthings..
For latest Windows client on VScode,

1. Cloning via ssh doesn't work but via https does.

2. On Key generation, SSH for rsa doesn't work, but the new syntax & algorithm ed25519 published in Github help page works.

3. Same for starting & config ssh agent, the github help page commands worked.

Thanks a lot for this video."
@sauravroy3420,Really like that you took the time to explain each concept in detail for a beginner like me
@bernardbakala9241,I learned more that I expected. Thanks a million for such a complete course.
@kirtperez9938,Y’all are amazing! Pumping out this much needed content especially during these times.
@saurabhbhardwaj7951,"I have been making mindless commits and PRs without realizing what they actually meant. This course fills so many gaps and answers most of my question regarding why we do a certain thing in Git.
Thanks a Lot!!"
@abdulhannan288,"This is exactly what a beginner would need ..
a great course covered in so timely manner"
@CSharpProdigy,"This is top notch I must say. I rarely give comments, but by default I'm doing so now.."
@briankaboyi-j1e,"As a beginner, I've understood a lot about git and GitHub that I was struggling with just by following along with this video. Thanks You"
@user-di4js6xw9n,"absolutely loved this video! as someone who was absolutely in the dark about how to use git and github, this crashcourse most definitely provided me with all the necessary information a beginner would need! thank you! :)"
@mattmovesmountains1443,"So helpful and well-explained. As a new coder, I'm in near disbelief that this is the setup process for what seems to be the tool used by every professional coder. That said I'm even more thankful you explained it so well."
@alexandergracilla1394,This video has better sound quality than the ad that came before
@faraza5161,This was definitely one of the best git tutorials I have ever come across. Big Thanks Gwen!!!
@piyushdongre325,This has taught me all i needed to know about git which i was delaying for a long time. Thank you :)
@ashleyteece4237,"The default name of the initial branch is now called ""main"" not ""master"". So if anyone is haveing trouble at 25:50, you need to use ""git push origin main"" not ""git push origin master"""
