Username,Comment
@sawazalz9764,"16:28 if you are having problem with using command ""ls -la"", make sure that you change your terminal into Bash first. To change your terminal,
1. Head to the upper right corner on terminal and press the drop-down menu.
2. Select ""Git Bash"" terminal.
3. Start using the command ""ls -la"" there."
@ashleyteece4237,"The default name of the initial branch is now called ""main"" not ""master"". So if anyone is haveing trouble at 25:50, you need to use ""git push origin main"" not ""git push origin master"""
@vashishtsharma7217,"This is free content so if you don't like it, You should tell her in the comments than disliking it."
@vaclavjochim177,"What happened at 21:45? Also my path is weird (Windows)

 C:\Users\Vaclav/.ssh/id_rsa

what is ls | grep? That command does not exist... Anything after  does not work, any help highly appreciated"
@samuelonyango5355,"I really learned alot form this, some concepts that initially were not clear to me are now solid."
@viswashh,24:40 I am really confused here
@j_force.90,"21:46 -  If the given command line doesn't work try using the following. (Got it from chatgpt and it worked.)

ls -Name | Select-String -Pattern 'testkey'  

The previous error which leads to the above solution might have occurred bcz of using windows powershell. Widows powershell doesn't have the 'grep' command natively available.
Instead we can use 'Select-String' cmdlet, which performs a similar function to 'grep'

Or else your can use grep command in bash:"
@rakibulhasanrajumeazi680,Thank you so much for this initiative. I was really confused about using git before watching this video.
-,I followed your tutorial step by step. I was able to get visual studio and github to interface. however I cannot commit and push my changes from my local on Visual Studio to my Repo on Github. I am utterly confused what I am doing wrong as I followed each step specifically you showed us. thank you for taking the time to make these helpful videos !
@omikronweapon,"I feel there's a few steps that could benefit from some details at 25:03
trying to register my key, I found that -K wasnt recognised, while -k was.
also, as an absolute beginner, I failed to realise that ~/.ssh was refering to a directory the repo in the video didnt have.
so ""ssh-add -k testkey"" was what I needed"
@pitsil,"15:11 - cloning through vs code: Clone with SSH didn't work in my case as i was getting auth error, so i used  clone with HTTPS instead and it worked."
@btross3154,"This is the exact crash course I needed.
Life saverrrrrrr
Thank you very much "
@randyraymor1963,"This is a very detailed video.  Unfortunately, being an older video, I found it difficult to follow.  For one thing, GitHub has changed a bit since this video was made.  But the real show stopper is that you are 90% devoted to Mac and I'm using Windows.  It's hard enough for some people to learn new things, let alone, trying to convert commands to different operation systems."
@akashgillella,"Oh my god!

Thanks a lot for this Mam!

Git has become more of a idiotic traumatic experience for me. I'm a 4th yr CSE UG, and still don't know my way around git comfortably!!!! I just wanna go and hide in a hole.

Really thanks for this!"
@squidux,I filled in some knowledge gaps with this video. I didn't have a good image in my mind for a software development workflow until this very beginner-friendly video.
@a9mission439,THANKYOU MISS FARADAY
@alvindavid_,"Thank You so much, I was so lost now everything just looks  straightforward."
@josephaj8310,"Its the best, I looked every others and those were not good. Thanks for the teaching."
@matheuscosta-fq7it,"if you're having problem with push, try the follow command  
git push -u origin main
in some cases the right name is main and not master, you can change it at github settings"
@satvikpandey700,"At 30:00 some people might face an error ""src refspec does not match any""
This is arising as git do not know the branch main so before this command add this -
git branch -M main"
@python_knooobb,"At timeline 15:32, you have not shown us the command, but when we try it is giving with fatal error"
@flexibleminded245,"i didnt understand 24:17 - 25:26 , when i write this : vim ~/.ssh/config  its not giving me same result of yours. why? and what is PIN for authenticator , i made as you said but it says failure."
@BlackHawkDown2,"15:00 I get an error "" You don't have any public SSH keys in your GitHub account. You can add a new public key, or try cloning this repository via HTTPS."" . This itself is a long process :-( I was hoping you would cover it in the video"
@misatokatsuragi9111,Thank you so much this was so intimidating as a beginner
@John-r8b1x,"FOR WINDOWS USERS
1. For those struggling with permission denied(publickey) error try the following:
=>when generating key, just enter when it says enter file in which to save the key(do not enter anything)
=>proceed the same as it is 

2. FAILED TO PUSH SOME REFS TO
=> after committing do add => git branch -M main

And also master has been replaced by main in the latest version ."
@pratickbhowmick4796,"16:40 'ls -la' gives error in Windows.
20:42 In which app are you writing these cmds?"
@anonymous-random,"51:39  I think this part is a bit misleading. Even when it's not the same line, the merge error should occur, right?"
@olboytom2079,"Also, if you get an error at the 30min mark when entering the push command it could be caused by adding a license etc to the folder. You must create the folder with no options for it to work. Can add license later."
@planetside11,"Good video if you're using a Mac. But if you're running Windows you'll hit some brick walls...

For those of us running windows, we don't have the ""cat"" command. Use ""type"" instead. 
We also don't have pbcopy. Use clip < [well-formed path to your file]
No idea what to do about starting the SSH agent. Been looking for the past 30 min. Still can't find a way to start it that works."
@whale6125,"For someone who fails to push 'Demo 2' with an error message saying ""error: src refspec main does not match any"", you need to do ""git branch -M main"" before ""git remote add origin .....""."
@primordialcat6986,for anyone having trouble on git push origin master use main instead of master
@scroopynoopers9824,"having trouble at at 25:25  
for some reason i no longer in the demo-repo folder. My terminal wont allow me to run any commands. I can type but hitting ""enter"" only moves the cursor one line down. What's happneing?"
@kytv9000,"At 21:22, why do you have to generate the ssh keys using your github email address? When my github account email is set to be private, I have to expose it in my ssh pub key now?"
@nikolozi1986,"everything is ok but master is not appear for me idk why mac M1 have 
all push all appears this name how change and how get master idk"
@abdulkadirbiffo8937,"at 32:21, I think git innit is missing ..."
@arunjithr5984,Why merge conflicts came at 54:40? Can anyone please explain.
@adam-r7g,"hello, i tried to follow the demo and got stuck naming the repo file.... 
Couldn't check availability in red. any tips?"
@bobdaawid2218,"Just little confusion on the ssh key section.

Setting up an SSH is it only needed in a cloned project  to push the project?"
@ernestogonzalez9897,"I'm having trouble understanding the 'origin master' part. It's not creating a folder, is it just a background word we use as reference? Not sure I'm understanding it's connection to this."
@jalacson355,Help - The file .ssh/config does not exist. I tried adding the file using touch ~/.ssh/config but did not create the file -now I'm stuck
@artiyadav9825,In case someone's commit button is not working(greyed out) try disabling the adblocker. (I spent 15 days searching for the solution)
@idanlib,"I can't get VSCode to recognize git, not matter what I do. I have tried adding the git.path property with the path given to me by ""where git"" in GitBash. Nothing. Has anyone encountered this before?"
@mukarramhaq3663,"Whenever I try to run ""git diff <name of the branch>"" my terminal is not showing me any changes. Anyone else encountered the same problem?"
@haniffaris8917,"It's kinda confusing that a pull request is actually a request to merge branches, and not a request to pull a branch."
@chelsealeggatt9167,"i just tried to the download my github repo to Vscode but mine comes up error? have i saved something wrong? my file is already being worked on so i have my html, JS and CSS already in there."
@reda-w4g,"Uh, I'm extremely confused about branching have no idea what will I do whenever I need to branch and merge and all that stuff.."
@leonnorlazami2304,"When I use git push origin main, I have an error Permission to theLeoNoir/demo-repo.git denied to leonorlazami.
fatal: Could not read from remote repository.      

Please make sure you have the correct access rights
and the repository exists.
I did everything the github docs said"
@angelinaceppaluni811,When I try to follow along I am met with an error message. Is there something I should be doing differently?
@Me-kt3gh,"For me, hitting tab does not autocomplete the branch names. any ideas?

Also, my terminal has the entire directory which is quite ugly. How do I get it to be just the folder name?
I'm also curious if it is just a windows thing, but my terminal doesn't specify which branch I am in. The only way to tell is to do the git branch command. Is there a way to change that?"
@drewstowell5926,"I keep getting stuck at the ""Cloning through VS Code"" part. I try using the git clone command, and VS says it doesn't recognize that command. I'm on Windows, not sure what I'm doing wrong. I've followed everything up to that point and it was working fine.

Update: I closed out of Visual Studio and ran Git Bash to see if it would do anything. I closed GB and the next time I opened VSC, I could use the git clone command."
@melkonya,Hi I am ahving some problem  of error: failed to push some refs to 'origin'. I have used ssh and didn't get any errors sofar coming to the push section of the video. Please let me know what to do.
@rudranshagg2580,"Saving key ""testkey"" failed: Permission denied -- I am getting this error while genertating the ssh key.Can anyone solve it ,please. I  tried searchin on the web but I got nothing "
@tadm123,"hi guys I think the generation of SSH keys should be at the beggining before starting to code in git, I was wrapping my head how did you even got Git to work and search in youtube for SSH keys generation :/"
@muralikrishna7249,IS IT NOT USEFUL FOR WINDOWS ? I mean windows terminal would be different from other OS right?
